time,open,high,low,close,Volume
1725148800,2500.00,2500.32,2499.14,2499.46,484.3026
1725149700,2499.46,2499.70,2498.76,2499.00,276.3970
1725150600,2499.00,2502.05,2498.50,2501.55,468.4562
1725151500,2501.55,2501.98,2497.69,2498.13,675.5338
1725152400,2498.13,2499.99,2497.92,2499.78,390.2518
1725153300,2499.78,2500.24,2496.21,2496.67,697.6621
1725154200,2496.67,2496.87,2496.39,2496.59,580.7664
1725155100,2496.59,2497.18,2488.72,2489.30,574.5544
1725156000,2489.30,2489.75,2482.29,2482.74,557.4900
1725156900,2482.74,2484.20,2467.85,2469.30,334.0167
1725157800,2469.30,2481.23,2466.50,2478.41,108.0082
1725158700,2478.41,2480.87,2476.71,2479.17,632.4018
1725159600,2479.17,2488.24,2476.90,2485.97,628.1042
1725160500,2485.97,2486.13,2482.60,2482.76,456.9150
1725161400,2482.76,2484.28,2478.37,2479.90,596.7621
1725162300,2479.90,2481.11,2477.69,2478.90,572.7738
1725163200,2478.90,2480.23,2474.05,2475.38,430.5048
1725164100,2475.38,2479.95,2474.92,2479.48,851.3631
1725165000,2479.48,2481.53,2473.75,2475.79,616.2710
1725165900,2475.79,2476.73,2474.57,2475.51,626.3726
1725166800,2475.51,2476.39,2475.34,2476.22,287.5562
1725167700,2476.22,2477.99,2459.42,2461.18,284.4482
1725168600,2461.18,2461.65,2458.99,2459.46,453.6612
1725169500,2459.46,2462.94,2458.39,2461.87,849.2113
1725170400,2461.87,2475.68,2460.74,2474.55,416.7304
1725171300,2474.55,2476.31,2469.51,2471.27,415.9751
1725172200,2471.27,2474.77,2469.88,2473.38,392.4806
1725173100,2473.38,2476.80,2468.30,2471.71,338.6282
1725174000,2471.71,2472.48,2469.70,2470.47,680.0240
1725174900,2470.47,2470.95,2467.51,2467.99,526.1954
1725175800,2467.99,2478.62,2466.34,2476.96,542.0540
1725176700,2476.96,2484.76,2475.28,2483.07,558.1571
1725177600,2483.07,2484.45,2483.02,2484.40,793.9651
1725178500,2484.40,2487.37,2476.70,2479.67,518.2678
1725179400,2479.67,2481.77,2472.22,2474.31,478.3454
1725180300,2474.31,2481.47,2472.80,2479.95,604.3326
1725181200,2479.95,2481.27,2467.81,2469.12,584.3779
1725182100,2469.12,2472.23,2467.96,2471.07,500.6534
1725183000,2471.07,2482.24,2469.11,2480.28,436.8292
1725183900,2480.28,2481.11,2477.74,2478.57,446.3623
1725184800,2478.57,2480.88,2467.09,2469.39,533.9918
1725185700,2469.39,2471.03,2464.28,2465.92,501.4771
1725186600,2465.92,2475.70,2465.40,2475.18,705.8534
1725187500,2475.18,2475.41,2465.64,2465.87,549.4718
1725188400,2465.87,2478.64,2462.76,2475.52,649.5930
1725189300,2475.52,2482.48,2472.68,2479.63,607.8578
1725190200,2479.63,2480.72,2478.66,2479.75,313.7730
1725191100,2479.75,2488.70,2479.40,2488.35,804.0401
1725192000,2488.35,2488.95,2486.36,2486.96,265.6498
1725192900,2486.96,2487.45,2476.86,2477.35,624.5940
1725193800,2477.35,2478.87,2477.26,2478.79,333.4133
1725194700,2478.79,2483.56,2477.83,2482.60,574.7488
1725195600,2482.60,2485.85,2480.49,2483.73,514.1844
