time,open,high,low,close,Volume
1725148800,130.00,130.07,129.87,129.93,467.0856
1725149700,129.93,130.05,129.54,129.66,469.0047
1725150600,129.66,130.09,129.61,130.03,656.5319
1725151500,130.03,130.08,129.81,129.86,528.7990
1725152400,129.86,129.97,129.26,129.38,576.9577
1725153300,129.38,129.77,129.16,129.55,239.4168
1725154200,129.55,129.61,129.24,129.30,546.8169
1725155100,129.30,129.37,129.11,129.18,404.6648
1725156000,129.18,129.23,128.60,128.65,401.8294
1725156900,128.65,128.73,128.15,128.22,680.5508
1725157800,128.22,128.58,128.12,128.49,449.3930
1725158700,128.49,128.73,128.41,128.64,538.2641
1725159600,128.64,128.92,128.52,128.80,422.9115
1725160500,128.80,129.25,128.69,129.14,537.7138
1725161400,129.14,129.33,128.86,129.05,508.2712
1725162300,129.05,129.51,128.79,129.25,452.7609
1725163200,129.25,129.35,129.04,129.15,575.6085
1725164100,129.15,129.46,128.96,129.27,625.1769
1725165000,129.27,129.52,129.15,129.40,717.0896
1725165900,129.40,129.42,129.14,129.15,306.1248
1725166800,129.15,129.23,128.95,129.03,433.0947
1725167700,129.03,129.15,127.77,127.90,421.3318
1725168600,127.90,128.37,127.64,128.11,282.3442
1725169500,128.11,128.34,127.93,128.16,587.7745
1725170400,128.16,128.63,127.84,128.31,554.6096
1725171300,128.31,128.45,127.97,128.11,647.6057
1725172200,128.11,128.56,128.09,128.54,537.8665
1725173100,128.54,128.82,128.33,128.61,593.8543
1725174000,128.61,128.87,128.54,128.80,265.7534
1725174900,128.80,129.11,128.68,128.98,580.4436
1725175800,128.98,129.06,128.70,128.78,627.3455
1725176700,128.78,128.94,128.75,128.92,653.9292
1725177600,128.92,129.13,128.17,128.38,583.7946
1725178500,128.38,128.42,128.09,128.14,598.4746
1725179400,128.14,128.28,127.81,127.96,401.7683
1725180300,127.96,128.09,127.74,127.87,505.0198
1725181200,127.87,127.99,127.41,127.53,720.8246
1725182100,127.53,127.83,127.35,127.66,480.7878
1725183000,127.66,127.83,127.62,127.79,711.7155
1725183900,127.79,127.95,126.95,127.11,310.7517
1725184800,127.11,127.19,126.26,126.34,670.3035
1725185700,126.34,126.66,126.29,126.61,522.3535
1725186600,126.61,126.77,126.54,126.70,474.5704
1725187500,126.70,126.77,126.43,126.50,501.1259
1725188400,126.50,126.96,126.43,126.89,802.5948
1725189300,126.89,127.14,126.83,127.09,445.1173
1725190200,127.09,127.20,126.96,127.08,450.5154
1725191100,127.08,127.89,126.85,127.65,116.2981
1725192000,127.65,127.69,127.39,127.42,560.7503
1725192900,127.42,127.48,126.93,126.99,599.2719
1725193800,126.99,127.06,126.76,126.82,865.5081
1725194700,126.82,127.11,126.75,127.04,486.0827
1725195600,127.04,127.22,127.03,127.21,91.7872
1725196500,127.21,127.34,126.58,126.71,325.7157
1725197400,126.71,126.83,126.20,126.32,629.4265
1725198300,126.32,127.92,126.10,127.70,447.9936
1725199200,127.70,127.78,125.60,125.68,664.7681
1725200100,125.68,125.82,125.49,125.63,283.8685
1725201000,125.63,126.61,125.44,126.42,527.3779
1725201900,126.42,126.57,126.40,126.55,529.6655
1725202800,126.55,126.91,126.53,126.89,487.7278
1725203700,126.89,127.19,126.75,127.05,456.9277
1725204600,127.05,128.50,126.91,128.35,638.1914
1725205500,128.35,128.73,128.34,128.71,606.7508
